City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
386,Fort Payne,1,US,2021-11-28 19:53:54,44,34.4442,-85.7197,58.91,5.75
387,Mattru,74,SL,2021-11-28 19:53:55,93,7.6244,-11.8332,76.01,3.6
388,Darnah,100,LY,2021-11-28 19:53:55,37,32.767,22.6367,75.81,33.44
389,Taua,60,BR,2021-11-28 19:53:56,29,-5.9667,-40.3,92.08,8.16
390,Plymouth,90,US,2021-11-28 19:49:16,62,41.8334,-70.8328,39.04,10.36
391,Bytca,90,SK,2021-11-28 19:53:56,87,49.224,18.5588,39.2,5.75
392,Ofaqim,16,IL,2021-11-28 19:52:58,37,31.3141,34.6203,69.73,0.2
393,Ruwi,0,OM,2021-11-28 19:53:56,50,23.5996,58.5507,75.81,7.36
394,Imbituva,100,BR,2021-11-28 19:50:38,35,-25.23,-50.6044,82.53,6.31
395,Talca,2,CL,2021-11-28 19:53:57,7,-35.4333,-71.6667,82.11,12.44
396,Issenye,100,TZ,2021-11-28 19:53:58,78,-2.0,34.3333,67.5,1.61
397,Rawson,94,AR,2021-11-28 19:53:58,24,-43.3002,-65.1023,74.79,13.44
398,Interlaken,1,US,2021-11-28 19:53:59,48,36.9513,-121.7338,71.89,4.61
399,Lengshuijiang,50,CN,2021-11-28 19:53:59,68,27.6881,111.4294,52.39,2.33
400,Tuatapere,29,NZ,2021-11-28 19:53:59,55,-46.1333,167.6833,55.31,1.92
401,Kropotkin,100,RU,2021-11-28 19:54:00,71,45.4375,40.5756,52.88,5.37
402,Xacmaz,83,AZ,2021-11-28 19:54:00,82,41.4635,48.806,47.01,2.3
403,Mount Gambier,0,AU,2021-11-28 19:54:00,93,-37.8333,140.7667,48.11,5.75
404,Salinopolis,26,BR,2021-11-28 19:54:01,71,-0.6136,-47.3561,83.75,10.98
405,Lazaro Cardenas,4,MX,2021-11-28 19:54:01,52,17.9583,-102.2,85.66,8.7
406,Alofi,65,NU,2021-11-28 19:53:43,61,-19.0595,-169.9187,78.69,12.66
407,Tubuala,100,PA,2021-11-28 19:54:01,84,9.5167,-79.0333,82.51,8.5
408,Salalah,3,OM,2021-11-28 19:55:02,37,17.0151,54.0924,77.31,4.45
409,Klyuchi,23,RU,2021-11-28 19:55:02,86,52.2667,79.1667,13.3,5.93
410,Pran Buri,98,TH,2021-11-28 19:55:02,84,12.3847,99.9098,72.88,10.71
411,Hede,100,CN,2021-11-28 19:55:03,89,33.7681,120.2517,55.45,6.04
412,Vasalemma,100,EE,2021-11-28 19:55:03,87,59.2442,24.29,26.65,7.76
413,Luena,100,AO,2021-11-28 19:55:04,96,-11.7833,19.9167,62.73,3.36
414,Jiquipilas,100,MX,2021-11-28 19:55:05,73,16.6667,-93.65,74.41,8.37
415,Livingston,0,GB,2021-11-28 19:53:17,86,55.9029,-3.5226,32.07,4.61
416,Nchelenge,96,ZM,2021-11-28 19:55:06,85,-9.3451,28.734,70.07,3.98
417,Samana,40,DO,2021-11-28 19:55:06,70,19.2056,-69.3369,88.02,6.91
418,Mananjary,100,MG,2021-11-28 19:55:06,75,-21.2167,48.3333,70.77,4.27
419,Niamey,100,NE,2021-11-28 19:55:07,10,13.5137,2.1098,91.69,2.3
420,Ballitoville,20,ZA,2021-11-28 19:55:07,94,-29.539,31.2144,69.94,9.22
421,Bilibino,95,RU,2021-11-28 19:55:07,99,68.0546,166.4372,-7.42,3.69
422,Itoman,75,JP,2021-11-28 19:55:07,68,26.1247,127.6694,70.18,12.66
423,Cedar City,1,US,2021-11-28 19:52:08,34,37.6775,-113.0619,47.37,3.44
424,Nagato,100,JP,2021-11-28 19:55:08,72,34.3833,131.2,44.51,7.23
425,Vila Franca Do Campo,96,PT,2021-11-28 19:50:09,70,37.7167,-25.4333,61.21,4.92
426,Walvis Bay,0,NA,2021-11-28 19:55:08,88,-22.9575,14.5053,61.75,9.22
427,Dali,1,CN,2021-11-28 19:55:09,77,25.7,100.1833,44.13,2.93
428,Rameswaram,100,IN,2021-11-28 19:55:09,82,9.2833,79.3,80.26,12.3
429,Nianzishan,32,CN,2021-11-28 19:55:09,91,47.5167,122.8833,12.27,4.54
430,Dingle,61,PH,2021-11-28 19:55:09,94,10.9995,122.6711,75.13,7.4
431,Bethanien,0,NA,2021-11-28 19:55:10,32,-26.502,17.1583,70.52,7.74
432,Bereda,100,ES,2021-11-28 19:55:10,94,43.2686,-7.5406,49.75,6.93
433,San Vicente,100,AR,2021-11-28 19:55:10,99,-26.6167,-54.1333,66.36,3.53
434,Petropavlovsk-Kamchatskiy,0,RU,2021-11-28 19:55:11,66,53.0452,158.6483,7.39,2.24
435,Nador,0,MA,2021-11-28 19:55:11,47,35.174,-2.9287,57.45,17.27
436,Marzuq,0,YE,2021-11-28 19:55:11,29,14.4,46.4667,64.47,3.18
437,Kirakira,96,SB,2021-11-28 19:55:12,80,-10.4544,161.9205,81.54,5.84
438,Chiang Rai,57,TH,2021-11-28 19:55:12,100,19.9167,99.9167,62.58,0.0
439,Ribeira Grande,20,PT,2021-11-28 19:55:12,67,38.5167,-28.7,61.2,6.91
440,Gavle,98,SE,2021-11-28 19:55:13,56,60.6745,17.1417,29.95,6.89
441,Saint George,1,US,2021-11-28 19:55:13,24,37.1041,-113.5841,73.87,4.61
442,Whitianga,100,NZ,2021-11-28 19:55:13,65,-36.8333,175.7,66.4,3.4
443,Evensk,100,RU,2021-11-28 19:55:14,95,61.95,159.2333,15.53,3.47
444,Urengoy,79,RU,2021-11-28 19:55:14,100,65.9667,78.3667,-22.07,4.52
445,Northam,99,GB,2021-11-28 19:55:14,74,51.0333,-4.2167,40.62,21.07
446,Fukue,8,JP,2021-11-28 19:55:15,58,32.6881,128.8419,56.12,3.09
